T_ax,T_ay,T_az,T_gx,T_gy,T_gz,T_mx,T_my,T_mz,RA_ax,RA_ay,RA_az,RA_gx,RA_gy,RA_gz,RA_mx,RA_my,RA_mz,LA_ax,LA_ay,LA_az,LA_gx,LA_gy,LA_gz,LA_mx,LA_my,LA_mz,RL_ax,RL_ay,RL_az,RL_gx,RL_gy,RL_gz,RL_mx,RL_my,RL_mz,LL_ax,LL_ay,LL_az,LL_gx,LL_gy,LL_gz,LL_mx,LL_my,LL_mz,action,id
0.58824,-0.46775,1.1347,0.2803,-0.2874,0.091622,-0.63178,0.49029,-0.22953,-0.3434,-1.6278,-1.2053,-0.2915,0.46988,-0.10609,-0.48119,-0.39321,-0.51639,-1.4499,-1.5805,1.22,0.84329,0.23938,1.084,-0.55428,0.28416,0.44741,-0.32286,-0.63404,1.3314,0.10208,-0.14718,0.098439,0.48452,-0.012967,0.49928,-0.33685,-3.1755,0.81208,-0.76055,-0.3407,-0.64684,0.45426,0.066652,-0.4763,jump,1
1.5729,-0.42275,0.87383,0.50617,0.32787,0.091195,-0.62074,0.48747,-0.24106,0.21096,1.3212,-1.3488,0.77721,0.85583,-0.12034,-0.45548,-0.38889,-0.52395,-0.73351,-1.0673,0.17545,0.50383,0.30325,1.2765,-0.53956,0.31972,0.43536,-4.9863,2.616,-1.8274,-0.97506,0.43738,0.18076,0.467,-0.025578,0.51061,-3.2593,-1.248,-3.8719,0.34547,0.42459,-0.90376,0.43546,0.085318,-0.47941,jump,2
6.5315,-0.12955,6.5694,0.51402,-0.70918,0.23325,-0.5999,0.48578,-0.26952,-0.066273,14.984,-1.3684,1.2539,1.0117,0.7,-0.4351,-0.38652,-0.53347,4.6208,-7.4523,-1.8255,-0.051976,0.70989,0.93765,-0.52436,0.35485,0.42512,-38.337,15.746,-2.0916,-0.95997,0.26589,1.0322,0.44974,-0.056597,0.51812,-33.601,-16.06,4.0182,1.8444,-0.16707,-1.4985,0.43232,0.052691,-0.4785,jump,3
32.7,3.5234,13.313,0.44433,-0.97718,-0.38279,-0.60216,0.47855,-0.24898,5.9667,26.629,3.4733,1.0454,-0.21727,0.64992,-0.43933,-0.38081,-0.52844,36.922,-11.612,-9.6133,-0.78878,0.93136,-0.53055,-0.53794,0.34563,0.41974,-13.178,-9.9374,4.0246,-1.145,0.52204,2.1912,0.43736,-0.10531,0.51872,-19.006,14.651,-0.36682,1.8418,0.63982,-1.548,0.41855,0.031113,-0.48635,jump,4
23.686,-1.793,13.912,-0.29934,1.7693,0.30558,-0.60506,0.48405,-0.22216,8.7551,26.408,17.78,0.84546,1.5426,-0.21585,-0.42378,-0.40796,-0.51672,21.147,-7.3662,-5.3638,-4.0628,0.83132,-0.42648,-0.56621,0.2934,0.41469,-26.507,-6.8562,-2.8498,3.3936,-0.17824,-0.82159,0.4248,-0.081866,0.53166,-21.679,11.966,-2.2348,-3.2685,-0.014257,1.0157,0.42558,0.051689,-0.4787,jump,5
23.815,0.46075,7.6967,1.0404,1.1732,0.31613,-0.60152,0.48309,-0.2419,0.579,25.653,8.3161,-0.084626,1.1569,-0.38186,-0.39486,-0.43422,-0.52353,18.44,-17.631,4.4585,-2.4564,-0.59377,-1.3056,-0.56981,0.20694,0.45339,-20.403,-2.8258,-3.0242,1.1224,-0.20549,-0.75427,0.43717,-0.02761,0.52972,-20.739,0.24474,-1.4585,-1.0233,-0.85952,0.65278,0.42125,0.082884,-0.477,jump,6
15.006,1.4405,6.4051,0.51303,0.71703,0.14957,-0.60212,0.48077,-0.26821,-1.2498,16.305,3.5933,-1.6388,-0.12287,-0.49675,-0.3854,-0.4255,-0.54753,13.828,-13.843,4.2053,1.5611,-0.57507,-2.0985,-0.57149,0.17337,0.46504,-16.096,4.3253,-1.3772,-1.1089,-0.29289,-1.2848,0.45751,-0.019297,0.51707,-17.611,-6.5107,-0.80377,1.3152,0.12503,1.2214,0.43712,0.064318,-0.47345,jump,7
6.4175,0.83331,3.1498,-0.33498,1.0226,0.12235,-0.59706,0.48669,-0.29979,1.4482,6.1395,2.9194,-0.92031,-0.39902,-0.7505,-0.38832,-0.41291,-0.57242,5.7087,-4.5904,-0.42845,1.6665,-0.10472,-1.8974,-0.58064,0.16477,0.45974,-8.6582,3.8717,-0.64194,-1.3307,-0.79517,-1.1078,0.47807,-0.008098,0.50402,-7.9797,-4.1092,0.31432,0.39119,0.14191,1.1687,0.45578,0.040421,-0.46781,jump,8
-0.48798,-1.0818,1.2121,-0.55762,0.09225,0.18539,-0.59733,0.49884,-0.3018,1.7283,1.157,-1.5323,-0.88207,-0.46123,-0.84705,-0.39398,-0.41559,-0.5808,1.8811,-5.301,0.31809,1.5198,-0.22494,-1.4892,-0.59503,0.15314,0.45096,-2.3602,1.7721,-2.0138,-1.2081,0.27148,-0.30777,0.49446,-0.018376,0.49377,-1.8172,-1.405,0.66483,-0.27533,0.11859,0.14615,0.47678,0.034946,-0.45815,jump,9
-4.2058,-0.80262,-1.8662,-0.27705,-1.0024,0.10424,-0.60929,0.50677,-0.27944,0.86495,-3.8065,-2.9286,-1.3807,-0.79697,-0.47213,-0.40379,-0.40641,-0.59356,-1.4762,-3.2263,1.0575,1.2062,-0.067771,-0.56617,-0.60313,0.16045,0.44132,0.83342,2.6996,1.6511,-0.45453,0.13222,0.32866,0.4981,-0.03556,0.49091,1.8639,-5.0292,2.4357,0.25226,-0.32716,0.13134,0.48487,0.039681,-0.45541,jump,10
-3.4393,-0.57807,-3.9855,0.12592,-0.70587,-0.15004,-0.6205,0.50994,-0.24599,0.018098,-7.7176,-1.892,-0.047438,-0.65493,-0.026849,-0.42038,-0.39132,-0.59045,-3.3239,-1.7223,1.6122,0.59556,0.2363,-0.24339,-0.61093,0.18089,0.42258,1.7664,2.1921,0.13214,-0.12976,0.1638,0.2634,0.49579,-0.072298,0.48903,0.23412,-2.0867,0.60799,-0.48983,-0.040513,0.23336,0.48749,0.011131,-0.456,jump,11
0.19614,0.51561,-1.287,0.25007,0.23128,-0.24548,-0.62414,0.50084,-0.24838,-1.3141,-1.8143,-1.7031,1.4764,-0.35087,0.29536,-0.4286,-0.40774,-0.56663,-1.9658,-1.6397,0.53837,-0.061447,0.55411,0.3142,-0.61739,0.18634,0.41029,-0.78529,-0.45887,2.0572,0.45281,-0.10438,-0.13675,0.49156,-0.066797,0.49014,-1.0222,-1.3373,1.6049,-0.37872,0.24351,0.064581,0.48614,0.021935,-0.45598,jump,12
