T_ax,T_ay,T_az,T_gx,T_gy,T_gz,T_mx,T_my,T_mz,RA_ax,RA_ay,RA_az,RA_gx,RA_gy,RA_gz,RA_mx,RA_my,RA_mz,LA_ax,LA_ay,LA_az,LA_gx,LA_gy,LA_gz,LA_mx,LA_my,LA_mz,RL_ax,RL_ay,RL_az,RL_gx,RL_gy,RL_gz,RL_mx,RL_my,RL_mz,LL_ax,LL_ay,LL_az,LL_gx,LL_gy,LL_gz,LL_mx,LL_my,LL_mz,action,id
0.81724,1.2886,0.018014,0.6698,0.55925,0.14177,-0.62865,-0.18386,-0.84973,2.5229,4.8107,3.7858,0.21595,1.0051,-0.45513,0.064065,-0.769,-0.81062,4.1069,-2.9627,5.159,0.079752,0.10807,1.4957,-0.020283,0.45361,-1.1463,-4.0211,3.278,5.0214,0.38692,-0.31575,-0.40201,0.16156,-0.70399,0.035577,-0.63758,-6.5228,4.0889,-2.2127,-1.2747,-0.92606,0.70577,0.24871,0.02383,run,1501
3.7331,0.47678,0.81081,0.6571,-1.0345,0.13341,-0.66446,-0.19578,-0.81854,0.69066,9.113,7.046,-0.16632,1.4161,-0.7153,0.12096,-0.76126,-0.79848,2.2626,-5.6019,7.3188,0.34947,0.52699,1.625,0.023043,0.42682,-1.155,-15.441,17.105,-8.9531,-1.529,-0.029925,-0.30585,0.17561,-0.71408,-0.034284,-7.878,-6.3355,-1.337,-2.7656,0.33433,-2.1933,0.70106,0.2839,0.056167,run,1502
12.28,2.4506,5.1414,-3.0261,-3.9453,0.56975,-0.75723,-0.14182,-0.75214,0.72034,6.6792,7.9294,-0.19285,1.0553,-0.31006,0.17684,-0.75503,-0.78376,3.2983,-9.3638,6.2802,0.06105,0.65157,0.99343,0.071037,0.42126,-1.1586,-5.0867,-16.906,2.7111,3.4748,-0.37449,0.54746,0.13909,-0.72985,0.006893,-23.764,-1.542,-0.84539,0.54323,-1.8026,-1.9844,0.65896,0.35983,0.072961,run,1503
21.352,-2.861,3.5118,1.5206,0.61876,-0.16076,-0.81792,-0.11266,-0.69968,-3.3461,8.229,9.3941,-0.090765,0.56552,-0.18769,0.20497,-0.74731,-0.77335,-0.44138,-4.5978,9.9498,-0.062437,0.35566,0.91164,0.11121,0.42228,-1.1519,-9.8986,-18.649,-8.4277,1.4299,1.4208,-3.0437,0.19081,-0.71105,0.070143,-20.542,-0.82442,-0.99819,1.3789,0.61228,-3.4226,0.6015,0.429,0.081204,run,1504
15.297,-0.089672,10.005,0.56109,1.2055,0.79281,-0.8093,-0.11132,-0.71446,2.6538,8.8721,8.1555,0.01441,-0.1904,0.50919,0.21615,-0.74884,-0.77179,2.7957,-9.4168,9.8651,-0.060884,-0.5437,-0.08244,0.12845,0.45305,-1.1484,-26.343,2.9798,-0.46859,0.30825,-0.55983,-2.4981,0.32805,-0.6438,0.086854,-22.532,10.377,-1.5619,1.6047,-0.032231,-3.456,0.50154,0.53087,0.0896,run,1505
11.615,0.10317,4.3376,0.90035,0.61957,0.55985,-0.78328,-0.12858,-0.73599,-3.0906,5.9649,9.2978,-0.25904,-1.0182,1.1094,0.17291,-0.74986,-0.78329,-0.031401,-6.723,7.9197,-0.042945,-1.263,-0.63021,0.07522,0.43881,-1.1608,-19.357,7.4555,-2.4189,-2.2969,0.58584,-3.0174,0.43117,-0.56561,0.075817,-15.206,10.225,-1.9988,0.2991,0.24623,-2.9097,0.423,0.58285,0.092341,run,1506
10.332,0.008389,4.678,0.90405,0.6495,0.11639,-0.76196,-0.15158,-0.74537,1.2152,8.2601,7.9008,-0.62488,-1.5087,0.87878,0.10608,-0.74203,-0.81467,3.1919,-6.7136,8.4769,-0.54038,-1.3839,-0.69371,-0.004467,0.44353,-1.1613,-14.518,-2.5502,0.65284,-0.81518,0.13442,-3.0101,0.51435,-0.48459,0.064884,-11.418,8.8527,-1.3558,0.31894,0.2275,-1.2292,0.38355,0.59541,0.094283,run,1507
7.4002,0.15656,3.1421,0.87094,0.89493,0.17147,-0.73515,-0.17703,-0.76262,3.0824,4.5906,4.6413,-0.40955,-1.2651,0.58816,0.04499,-0.73033,-0.84293,2.935,-5.1643,6.5781,0.35021,-1.2537,-0.74707,-0.083809,0.43223,-1.16,-13.849,9.4835,0.28554,-0.061987,0.13156,-2.9988,0.56894,-0.38954,0.092033,-5.3581,11.96,1.1604,0.28082,0.19999,-0.36926,0.36036,0.60692,0.083298,run,1508
3.4839,-0.078056,1.1112,0.99933,1.3986,0.28207,-0.6947,-0.19679,-0.78842,3.2539,3.7023,5.3018,-0.51607,-0.87799,-0.015407,0.003706,-0.71215,-0.86539,4.2223,-4.2527,3.9461,-0.16798,-0.4903,-0.31814,-0.13425,0.42142,-1.1623,-7.0869,17.352,2.9413,0.70265,-0.43695,-1.998,0.60156,-0.31452,0.11533,2.7531,-4.2273,5.3402,1.3783,-0.59454,1.1068,0.37821,0.60174,0.033266,run,1509
1.6744,-1.1544,1.568,1.3826,2.2381,-0.065941,-0.6265,-0.24085,-0.83143,2.4953,4.4308,4.6151,-0.12516,-0.13589,-0.89681,-0.003351,-0.7018,-0.88306,4.3466,-4.3483,4.0841,-0.38319,0.49855,0.006906,-0.13959,0.44187,-1.1579,0.1126,16.453,0.47594,1.4459,-0.38132,0.019964,0.59631,-0.28604,0.12834,0.075132,-20.114,-10.817,0.24963,2.1819,-0.52731,0.38991,0.59926,0.029988,run,1510
